"codigo";"Marca";"descripcion";"cantidad";"precio"
"59";"(Ref: 477338)";"Puro Andes";"Vino Gran Reserva Carmenere Botella";"750 cc";"$5.990"
"60";"(Ref: 648854)";"Sol de Chile";"Vino Tinto Carménére";"750 cc";"$4.490"
"61";"(Ref: 532815)";"Casa Rivas";"Vino Sauvignon Blanc Botella";"750 cc";"$3.150"
"62";"(Ref: 308639)";"Tarapacá";"Gran Reserva Merlot Botella";"750 cc";"$8.390"
"63";"(Ref: 257737)";"Concha y Toro";"Vino Carmenere Casillero del Diablo Reserva";"750 cc";"$4.490"
"64";"(Ref: 293471)";"Carmen";"Clásico Chardonnay Botella";"750 cc";"$2.090"
"65";"(Ref: 506706)";"Terra Andina";"Vino Sauvignon Blanc Botella";"750 cc";"$3.490"
"66";"(Ref: 280004)";"Viña Maipo";"Reserva Carmenère Botella";"750 cc";"$5.790"
"67";"(Ref: 624337)";"Tierra del Fuego";"Vino Reserva Cabernet Sauvignon Botella";"750 cc";"$4.390"
"68";"(Ref: 363759)";"Santa Helena";"Vino de Mesa Tetra Tetra";"2000 cc";"$2.490"
"69";"(Ref: 632215)";"Duchamps";"Sidra Pera 4.5º";"750 cc";"$3.990"
"70";"(Ref: 532675)";"Casa Silva";"Vino Colección Sauvignon Blanc Botella";"750 cc";"$5.190"
"71";"(Ref: 595600)";"Heroes";"Vino Red Blend Reserva Especial 14° Botella";"750 cc";"$5.390"
"72";"(Ref: 294734)";"Terra Andina";"Vino Merlot / Syrah Reserva";"750 cc";"$3.490"
"73";"(Ref: 257633)";"Concha y Toro";"Casillero del Diablo Sauvignon Blanc Botella";"700 cc";"$4.490"
"74";"(Ref: 242526)";"Concha y Toro";"Vino Selecto Exportación Cabernet Sauvignon Botella";"1,5 L";"$2.650"
"75";"(Ref: 294541)";"Misiones de Rengo";"Reserva Carmenère Botella";"750 cc";"$3.990"
"76";"(Ref: 367442)";"Concha y Toro";"Marqués de Casa Concha Cabernet Sauvignon Botella";"700 cc";"$9.990"
"77";"(Ref: 532809)";"Casa Rivas";"Vino Cabernet Sauvignon Botella";"750 cc";"$3.150"
"78";"(Ref: 293435)";"Carmen";"Insigne Chardonnay Botella";"750 cc";"$2.050"
"79";"(Ref: 580258)";"Celebrite";"Espumante Demi Sec Botella";"750 ml";"$4.190"
"80";"(Ref: 254070)";"Tarapacá";"Gran Reserva Carmenère Botella";"750 cc";"$8.390"
"81";"(Ref: 313005)";"Carmen";"Pack 4 Vinos Sauvignon Blanc + Rhin Riesling";"";"$2.390"
"82";"(Ref: 346599)";"Misiones de Rengo";"Vino Chardonnay Botella";"750 cc";"$2.490"
"83";"(Ref: 257540)";"Santa Emiliana";"Vino Sauvignon Blanc Santa Emiliana Botella";"700 cc";"$2.390"
"84";"(Ref: 254212)";"Viña Mar";"Vino Cabernet Sauvignon Reserva";"750 cc";"$4.150"
"85";"(Ref: 551070)";"Casillero del Diablo";"Espumante Brut Botella";"750 cc";"$5.490"
"86";"(Ref: 254256)";"Aresti";"Vino Carménere 13° Botella";"750 cc";"$4.490"
"87";"(Ref: 278906)";"Sol de Chile";"Vino Tinto Syrah Botella";"750 cc";"$3.190"
"88";"(Ref: 532680)";"Casa Silva";"Vino Colección Syrah Botella";"750 cc";"$5.190"
"89";"(Ref: 562924)";"Undurraga";"Espumoso Brut Botella";"375 cc";"$2.990"
"90";"(Ref: 270934)";"Oveja Negra";"Vino Cabernet Franc / Carmenere";"750 cc";"$4.090"
"91";"(Ref: 258070)";"Valdivieso";"Valdivieso Chardonnay Botella";"750 cc";"$2.890"
"92";"(Ref: 520425)";"Santa Helena";"Vino Tinto Reserva Merlot Botella";"750 cc";"$3.650"
"93";"(Ref: 259767)";"Cachapoal";"Vino Reserva Especial Cabernet Sauvignon Valle del Cachapoal Botella";"750 ml";"$3.990"
"94";"(Ref: 617067)";"Momentos";"Vino Reserva Carmenere";"750 cc";"$3.490"
"95";"(Ref: 384160)";"Viña Mar";"Espumante Brut 12.5° Botella";"375 cc";"$3.390"
"96";"(Ref: 280003)";"Casa Silva";"Vino Chardonnay Reserva Doña Dominga Botella";"750 cc";"$3.590"
"97";"(Ref: 279632)";"Ventisquero";"Reserva Merlot Botella";"750 cc";"$4.490"
"98";"(Ref: 328272)";"Miguel Torres";"Vino Orgánico Cabernet Sauvignon Las Mulas Botella 750 cc";"750 cc";"$5.890"
"99";"(Ref: 617068)";"Momentos";"Vino Sauvignon Blanc Reserva 2016";"750 cc";"$3.490"
"100";"(Ref: 257726)";"Concha y Toro";"Vino Merlot Casillero del Diablo Reserva";"750 cc";"$4.490"
"101";"(Ref: 255608)";"Miguel Torres";"Santa Digna Cabernet Sauvignon Botella";"700 cc";"$7.390"
"102";"(Ref: 270842)";"Concha y Toro";"Casillero del Diablo Ensamblaje Botella";"750 cc";"$6.690"
"103";"(Ref: 279972)";"Montes";"limited Selection Ensamblaje Botella";"750 cc";"$6.390"
"104";"(Ref: 639938)";"Entre Vientos";"Vino Reserva Carmenere";"750 cc";"$4.590"
"105";"(Ref: 532993)";"Santa Rita";"Vino Merlot Gran 120 Botellón";"2 L";"$2.490"
"106";"(Ref: 257691)";"Cono Sur";"Vino Carmenere Bicicleta";"750 cc";"$3.290"
"107";"(Ref: 278924)";"Sol de Chile";"Vino Tinto Syrah Botella";"750 cc";"$4.490"
"108";"(Ref: 254336)";"Castillo de Molina";"Vino Reserva Cabernet Sauvignon";"750 cc";"$6.890"
"109";"(Ref: 580260)";"Celebrite";"Espumante Brut Rosé Botella";"750 cc";"$5.190"
"110";"(Ref: 312801)";"Santa Rita";"120 Tetra Cabernet Sauvignon Tetra";"500 cc";"$890"
"111";"(Ref: 313064)";"Santa Rita";"Vino de Mesa Blanco Tetra Caja";"500 cc";"$890"
"112";"(Ref: 363756)";"San Pedro";"Vino Blanco Gato Caja";"500 cc";"$1.050"
"113";"(Ref: 363757)";"San Pedro";"Vino Tinto Cabernet Sauvignon Gato Caja";"500 ml";"$1.050"
