"codigo";"Marca";"descripcion";"cantidad";"precio"
"61";"(Ref: 592071)";"Nivea";"Toallitas Desmaquillantes Creme Care Bolsa";"25 Un";"$2.050"
"62";"(Ref: 625602)";"Nivea Visage";"Toalla Micelar";"1 Un";"$2.050"
"63";"(Ref: 627278)";"Loreal";"Toallitas desmaquillantes Piel normal a mixta";"1 Un";"$2.090"
"64";"(Ref: 627279)";"Loreal";"Toallitas desmaquillantes Piel seca a sensible";"1 Un";"$2.090"
"65";"(Ref: 569193)";"Lechuga";"Petalos Desmaquillantes Pote 50 Un";"50 2390";"$2.290"
"66";"(Ref: 667609)";"Rayfilter";"Protector Solar Spray Coco-Monoi SPF 30";"100 ml";"$2.290"
"67";"(Ref: 262752)";"Pielarmina";"Crema Líquida con Extracto de Limón Frasco";"160 cc";"$2.350"
"68";"(Ref: 691288)";"Loreal";"Mascarilla Ácido Hialurónico";"1 Un";"$2.390"
"69";"(Ref: 682130)";"Neutrogena";"Toallitas Micelares 7 en 1";"25 Un";"$2.450"
"70";"(Ref: 316348)";"Pielarmina";"Crema de Manos Reparación Intensa Pomo";"80 g";"$2.490"
"71";"(Ref: 502729)";"Nivea";"Protector Labial Med Protection FPS 15";"";"$2.490"
"72";"(Ref: 468554)";"Nivea";"Protector Labial con FPS 10 Fruity Shine Cereza Display";"1 Un";"$2.490"
"73";"(Ref: 502730)";"Nivea";"Protector Labial Sun Protect FPS 30";"";"$2.490"
"74";"(Ref: 630924)";"Equate";"Quita Esmalte Pote";"177 ml";"$2.590"
"75";"(Ref: 613301)";"Nivea";"Crema para Manos Cuidado Reparador";"75 ml";"$2.790"
"76";"(Ref: 613303)";"Nivea";"Crema para Manos Cuidado Anti-Edad Q10";"75 ml";"$2.790"
"77";"(Ref: 613304)";"Nivea";"Crema para Manos Cuidado Intensivo";"75 ml";"$2.790"
"78";"(Ref: 694759)";"Neutrogena";"Máscara Hydro Boost Gel";"30 gr";"$2.890"
"79";"(Ref: 671184)";"St. Ives";"Crema Corporal Piel Renovada con Colágeno y Elastina";"200 ml";"$2.890"
"80";"(Ref: 671195)";"St. Ives";"Crema Corporal Humectación Profunda con Avena y Karité";"200 ml";"$2.890"
"81";"(Ref: 671187)";"St. Ives";"Crema Corporal Reafirmante con Algas Marinas y Aloe Vera";"200 ml";"$2.890"
"82";"(Ref: 694760)";"Neutrogena";"Máscara Purifying Boost Gel";"30 gr";"$2.890"
"83";"(Ref: 671193)";"St. Ives";"Crema Corporal Humectación Revitalizante con AcaÍ, Arándanos y Aceite de Semilla de Chía";"200 ml";"$2.890"
"84";"(Ref: 646838)";"Pielarmina";"Crema Body Aloe Vera";"350 ml";"$2.990"
"85";"(Ref: 250746)";"Simond's";"Crema Prenatal con Centella Asiática Caja";"350 cc";"$2.990"
"86";"(Ref: 671748)";"Nivea";"Crema Corporal Soft Mix It Happy Exotic One";"100 ml";"$2.990"
"87";"(Ref: 653987)";"Lactovit";"Crema Original Nutritiva";"250 ml";"$2.990"
"88";"(Ref: 613304)";"Nivea";"Crema de Manos Cuidado Intensivo";"75 ml";"$2.990"
"89";"(Ref: 642592)";"Pielarmina";"Crema Hidratación Intensa";"350 ml";"$2.990"
"90";"(Ref: 642593)";"Pielarmina";"Crema Karité";"350 ml";"$2.990"
"91";"(Ref: 671747)";"Nivea";"Crema Corporal Soft Mix It Berry Charming One";"100 ml";"$2.990"
"92";"(Ref: 660716)";"Equate";"Bloqueador Rostro en Barra SPF 50";"42 g";"$2.990"
"93";"(Ref: 646833)";"Pielarmina";"Crema Body Castaña";"350 ml";"$2.990"
"94";"(Ref: 671749)";"Nivea";"Crema Corporal Soft Mix It Chilled Oasis One";"100 ml";"$2.990"
"95";"(Ref: 653986)";"Lactovit";"Crema Lactorurea Reparadora";"250 ml";"$2.990"
"96";"(Ref: 250147)";"Simond's";"Crema Corporal Humectante Avena Pomo";"340 ml";"$3.290"
"97";"(Ref: 622834)";"Lubriderm";"Crema Corporal Extra Humectante Botella";"200 ml";"$3.450"
"98";"(Ref: 627163)";"Pielarmina";"Agua Micelar";"200 ml";"$3.490"
"99";"(Ref: 534440)";"Nivea";"Crema Multiuso";"150 ml";"$3.550"
"100";"(Ref: 592065)";"Loreal";"Crema Facial Hidra-Total 5 Todo Tipo de Piel +45";"50 ml";"$3.550"
"101";"(Ref: 577254)";"Petrizzio";"Desmaquillante Bifasico Frasco";"170 ml";"$3.590"
"102";"(Ref: 628582)";"Equate";"Bronceador Dry Oil SPF 10";"156 g";"$3.590"
"103";"(Ref: 252387)";"Simond's";"Crema Post Natal con Elastina Vegetal de Algas Marinas Botella";"350 ml";"$3.590"
"104";"(Ref: 453994)";"Nivea";"Crema Humectante Soft Pote";"100 ml";"$3.590"
"105";"(Ref: 671522)";"Simmondsia";"Aceite de Jojoba Orgánico Roll On";"10 ml";"$3.590"
"106";"(Ref: 515973)";"Nivea";"Crema Regeneradora de Noche Caja";"50 cc";"$3.750"
"107";"(Ref: 515971)";"Nivea";"Crema Hidratante Activa de Día Caja";"50 cc";"$3.750"
"108";"(Ref: 454481)";"Nivea";"Crema Corporal Bajo la Ducha Nutritiva Botella";"250 ml";"$3.790"
"109";"(Ref: 613305)";"Nivea";"Crema Corporal Bajo la Ducha Aloe Piel Normal";"250 ml";"$3.790"
"110";"(Ref: 543063)";"Nivea";"Crema Facial Aclarado Radiante Noche Caja";"50 ml";"$3.890"
"111";"(Ref: 262792)";"Nivea";"Crema Corporal Milk Nutritiva Botella";"250 ml";"$3.890"
"112";"(Ref: 254035)";"Petrizzio";"Crema Facial Nutritiva Regeneradora Frasco";"50 g";"$3.890"
"113";"(Ref: 243864)";"Nivea";"Crema Corporal Hidratación Express Botella";"250 ml";"$3.890"
"114";"(Ref: 242765)";"Petrizzio";"Crema Hidratante Facial Pote";"50 ml";"$3.890"
