"codigo";"Marca";"descripcion";"cantidad";"precio"
"62";"(Ref: 259047)";"Minuto Verde";"Pulpa de Piña para Jugo Congelado Doypack";"333 g";"$1.650"
"63";"(Ref: 654029)";"La Crianza";"Espárragos";"350 g";"$1.990"
"64";"(Ref: 658585)";"Frutos del Maipo";"Smoothie Amarillo";"500 g";"$2.690"
"65";"(Ref: 259265)";"Minuto Verde";"Habas Peladas Congeladas Bolsa";"400 g";"$2.690"
"66";"(Ref: 259720)";"Minuto Verde";"Habas Congeladas Bolsa";"500 g";"$1.450"
"67";"(Ref: 264484)";"Minuto Verde";"Frambuesas Bolsa";"400 g";"$2.990"
"68";"(Ref: 253487)";"Guallarauco";"Pulpa Mango para Jugo Caja";"333 g";"$1.790"
"69";"(Ref: 430800)";"Frutos del Maipo";"Frutillas Congeladas Bolsa";"450 g";"$1.990"
"70";"(Ref: 611216)";"Minuto Verde";"Base Para Papillas";"500 g";"$1.590"
"71";"(Ref: 483304)";"Minuto Verde";"Champiñones Laminados Congelado Bolsa";"350 g";"$1.290"
"72";"(Ref: 391633)";"Selección";"Papas en Gajos Bolsa";"500 g";"$1.690"
"73";"(Ref: 590354)";"Mc Cain";"Papas Prefritas Estilo Casero Bolsa";"1 Kg";"$2.850"
"74";"(Ref: 255175)";"Sabor Peruano";"Pulpa de Mango Bolsa";"500 g";"$1.690"
"75";"(Ref: 631530)";"Frutos del Maipo";"Base para Papilla";"500 g";"$1.390"
"76";"(Ref: 655276)";"Minuto Verde";"Mix Pimentón";"150 g";"$640"
"77";"(Ref: 614268)";"Hortifrut";"Arándanos Congelados";"450 g";"$1.990"
"78";"(Ref: 611219)";"Frutos del Maipo";"Salteado Mediterráneo";"500 g";"$1.890"
"79";"(Ref: 263137)";"Minuto Verde";"Frutillas Bolsa";"500 g";"$2.690"
"80";"(Ref: 246928)";"Minuto Verde";"Frambuesa para Jugo Light Doypack";"333 g";"$1.850"
"81";"(Ref: 590355)";"Mc Cain";"Croquetas de Papas Prefritas Smiles Libre de Gluten Bolsa";"600 g";"$2.290"
"82";"(Ref: 590351)";"Mc Cain";"Noisettes Original";"500 g";"$1.490"
"83";"(Ref: 430806)";"Frutos del Maipo";"Frambuesas Congeladas Bolsa";"250 g";"$2.480"
"84";"(Ref: 655270)";"Minuto Verde";"Sopa de Zapallo";"500 g";"$2.990"
"85";"(Ref: 253085)";"Sabor Peruano";"Choclo en Grano Congelado Bolsa";"500 g";"$3.090"
"86";"(Ref: 614269)";"Hortifrut";"Frambuesas Congeladas";"450 g";"$1.990"
"87";"(Ref: 254389)";"Guallarauco";"Pulpa de Chirimoyas para Jugo Caja";"333 g";"$2.490"
"88";"(Ref: 242258)";"Minuto Verde";"Choclo Tierno Congelado Bolsa";"400 g";"$1.290"
"89";"(Ref: 286269)";"Minuto Verde";"Cebolla Picada";"250 gr";"$950"
"90";"(Ref: 256620)";"Frutos del Maipo";"Ensalada Jardinera Congelada Bolsa";"450 g";"$1.050"
"91";"(Ref: 631528)";"Frutos del Maipo";"Mix del Huerto";"500 g";"$1.250"
"92";"(Ref: 441820)";"Minuto Verde";"Brócoli Congelado Bolsa";"350 g";"$1.290"
"93";"(Ref: 601282)";"Minuto Verde";"Chirimoya para Jugo sin Azúcar";"1 L";"$1.650"
"94";"(Ref: 260183)";"Minuto Verde";"Pulpa Frutilla para Jugo Doypack";"333 g";"$1.650"
"95";"(Ref: 259258)";"Minuto Verde";"Congelados Espinaca a la Crema Bolsa";"400 g";"$1.750"
"96";"(Ref: 441823)";"Minuto Verde";"Papas Pre-Fritas Bolsa";"500 g";"$1.790"
"97";"(Ref: 260678)";"Minuto Verde";"Pulpa Mango para Jugo Doypack";"333 g";"$1.850"
"98";"(Ref: 601278)";"Minuto Verde";"Melón Calameño";"500 g";"$1.890"
"99";"(Ref: 259618)";"Minuto Verde";"Pulpa de Chirimoya para Jugo Congelado Doypack";"333 g";"$1.990"
"100";"(Ref: 685818)";"Frutos Maipo";"Base Natural Tomate";"400 g";"$1.990"
"101";"(Ref: 254402)";"Guallarauco";"Pulpa de Frambuesa Caja";"333 g";"$1.990"
"102";"(Ref: 685820)";"Frutos Maipo";"Base Natural Espinaca";"400 g";"$1.990"
"103";"(Ref: 264956)";"Guallarauco";"Pulpa de Frutillas para Jugo Caja";"333 g";"$1.990"
"104";"(Ref: 685819)";"Frutos Maipo";"Base Natural Zapallo";"400 g";"$1.990"
"105";"(Ref: 614270)";"Hortifrut";"Moras Congeladas";"450 g";"$1.990"
"106";"(Ref: 614271)";"Hortifrut";"Mix Berries Congelados";"450 g";"$1.990"
"107";"(Ref: 629668)";"Guallarauco";"Pulpa Limonada";"333 g";"$2.090"
"108";"(Ref: 590353)";"Mc Cain";"Papas Pre Fritas Tradicional";"720 g";"$2.190"
"109";"(Ref: 655345)";"Frutos del Maipo";"Mix de Hotalizas (Bag in Bag)";"800 g";"$2.250"
"110";"(Ref: 255146)";"Sabor Peruano";"Ají Amarillo Bolsa";"500 g";"$2.290"
"111";"(Ref: 629670)";"Guallarauco";"Pulpa Zanahoria Naranja";"333 g";"$2.390"
"112";"(Ref: 692323)";"Lider";"Choclo Trozo Congelado";"680 g";"$2.590"
"113";"(Ref: 601276)";"Minuto Verde";"Durazno";"500 g";"$2.690"
"114";"(Ref: 655268)";"Minuto Verde";"Sopa de Esparrago";"500 g";"$2.990"
"115";"(Ref: 655272)";"Minuto Verde";"Sopa de Choclo";"500 g";"$2.990"
"116";"(Ref: 655266)";"Minuto Verde";"Sopa de Tomate";"500 g";"$2.990"
"117";"(Ref: 601280)";"Minuto Verde";"Cerezas sin Carozo";"500 g";"$2.990"
"118";"(Ref: 398025)";"Minuto Verde";"Arándanos Bolsa";"400 g";"$3.290"
"119";"(Ref: 401220)";"Guallarauco";"Pulpa para Repostería Sabor Maracuyá Caja";"500 g";"$3.590"
"120";"(Ref: 613176)";"Great Value";"Waffles con Trozos Sabor Hogareño 10 Un Caja";"350 g";"$2.490"
"121";"(Ref: 258196)";"Great Value";"Helado Sandwich Helado de Vainilla 16 un) Caja";"16 Un";"$4.590"
"122";"(Ref: 287546)";"Great Value";"Helado de Crema Sabor Cookies Caja";"1,4 L";"$4.190"
"123";"(Ref: 279304)";"Savory";"Helado Mini Chocolito 500 ml";"10 Un";"$3.090"
"124";"(Ref: 278169)";"Savory";"Helado de Crema Sabor Chocolate Suizo Pote";"1 L";"$1.790"
"125";"(Ref: 278869)";"Savory";"Helado de Leche Sabor Vainilla Caja";"1 L";"$1.790"
"126";"(Ref: 286681)";"Guallarauco";"Helado de Agua en Barra Lúcuma Manjar Caja";"6 Un";"$2.690"
"127";"(Ref: 255032)";"Trendy";"Helados de Agua Sabor Naranja, Piña, Limón y Tutti Frutti Caja";"1.680 ml";"$3.590"
"128";"(Ref: 642232)";"Lider";"Hielo";"2 Kg";"$890"
"129";"(Ref: 246932)";"Hielo Rock";"Bolsa de Hielo Classic Bolsa";"2 Kg";"$990"
"130";"(Ref: 278619)";"Savory";"Helado de Crema Sabor Sahne Nuss Pote";"1 L";"$3.990"
"131";"(Ref: 278894)";"Savory";"Helado de Leche sabor Chirimoya Alegre Pote";"1 L";"$1.790"
"132";"(Ref: 598518)";"Savory";"Helado Paleta Mini Mega Frambuesa 5 Un de 60 ml c/u) Caja";"300 ml";"$3.890"
"133";"(Ref: 278387)";"Savory";"Helado Brownie La Cremería Caja";"1 L";"$3.990"
"134";"(Ref: 598578)";"Melevi";"Helado de Leche Sabor Chocolate, Lucuma y Manjar";"2,4 L";"$3.190"
"135";"(Ref: 259376)";"San Francisco";"Helado de Leche Light Sabor Chocolate Nuss Caja";"1 L";"$3.690"
"136";"(Ref: 278031)";"Savory";"Postre de Helado Charlot Sabor Sahne-Nuss Pote";"1 L";"$3.290"
"137";"(Ref: 540772)";"Lider";"Hielo en Cubos Bolsa";"2 Kg";"$890"
"138";"(Ref: 259460)";"San Francisco";"Helado de Crema Sabor Suspiro Limeño Caja";"1 L";"$3.690"
"139";"(Ref: 259532)";"San Francisco";"Postre Helado Tronco de Castaño Caja";"1 L";"$3.690"
"140";"(Ref: 278876)";"Savory";"Helado de Leche Sabor Chocolate Pote";"1 L";"$1.790"
"141";"(Ref: 278629)";"Savory";"Helado de Crema Sabor Dulce de Frambuesa Pote";"1 L";"$3.990"
"142";"(Ref: 278641)";"Savory";"Helado de Crema Sabor Plátano - Manjar Pote";"1 L";"$3.990"
"143";"(Ref: 254953)";"Trendy";"Helado de Leche Sabores Chocolate Suizo y Frutos del Bosque Pote";"2,5 L";"$2.990"
"144";"(Ref: 252788)";"Guallarauco";"Helado Barra de Fruta Frambuesa";"6 Un 60 ml c/u";"$2.690"
"145";"(Ref: 345113)";"Bresler";"Helado de Crema Sabor Chocolate Pote";"1.890 ml";"$2.990"
"146";"(Ref: 259507)";"San Francisco";"Postre Helado Plátano Manjar Caja";"1 L";"$3.690"
"147";"(Ref: 275230)";"Savory";"Helado de Leche Cassata Brick Pote";"1 L";"$1.790"
"148";"(Ref: 259412)";"San Francisco";"Helado Chocolate Nuss Premium Pote";"1 L";"$3.690"
"149";"(Ref: 647107)";"Bresler";"Bresler Vainilla Pote";"700 ml";"$1.000"
"150";"(Ref: 612208)";"Great Value";"Helado de Crema Sabor Cheesecake de Frutilla Pote";"1,4 L";"$3.670"
"151";"(Ref: 595725)";"Bresler";"Postre Helado Carte D'or Affogato Triple Chocolate Pote";"900 g";"$4.190"
"152";"(Ref: 430797)";"San Francisco";"Postre Helado Brownie Pote";"1 L";"$3.690"
"153";"(Ref: 259544)";"San Francisco";"Postre Helado Tiramisú Caja";"1 L";"$3.690"
"154";"(Ref: 278901)";"Savory";"Helado de Leche Sabor Pasas al Ron Pote";"1 L";"$1.790"
"155";"(Ref: 254728)";"Guallarauco";"Helado de Agua en Barra Chirimoya Caja";"6 Un";"$2.690"
"156";"(Ref: 306664)";"Savory";"Helado Centella Paleta";"1 Un";"$250"
"157";"(Ref: 419138)";"Savory";"Helado Trululú Paleta";"1 Un";"$390"
"158";"(Ref: 642231)";"Lider";"Hielo";"1 Kg";"$590"
"159";"(Ref: 306666)";"Savory";"Helado Chocolito Paleta";"1 Un";"$590"
"160";"(Ref: 630182)";"Savory";"Bilz y Pap Paleta";"1 Un";"$590"
"161";"(Ref: 260685)";"Rock";"Bolsa de Hielo";"1 Kg";"$650"
"162";"(Ref: 263032)";"Lider";"Barquillo para Helado";"10 Un";"$790"
"163";"(Ref: 609107)";"Savory";"Helado Crazy Frambuesa Pote";"1 Un";"$900"
"164";"(Ref: 656510)";"Savory";"Helado Pura Fruta Sabor Piña Paleta";"1 Un";"$900"
"165";"(Ref: 647108)";"Bresler";"Bresler Piña Pote";"700 ml";"$1.000"
"166";"(Ref: 608330)";"Savory";"Helado Mega Sahne Nuss";"1 Un";"$1.350"
"167";"(Ref: 256517)";"Lider";"Barquillo para Helado Caja";"18 Un";"$1.390"
"168";"(Ref: 561199)";"Savory";"Helado Danky 21";"125 ml";"$1.400"
"169";"(Ref: 561200)";"Savory";"Helado Danky Sahne Nuss";"125 ml";"$1.400"
"170";"(Ref: 609109)";"Savory";"Mega Frambuesa Paleta";"1 Un";"$1.500"
"171";"(Ref: 278881)";"Savory";"Helado Lúcuma Caja";"1 L";"$1.790"
"172";"(Ref: 277643)";"Savory";"Helado Piña Caja";"1 L";"$1.790"
"173";"(Ref: 279282)";"Savory";"Helado de Crema Sabor Tres Leches Pote";"1 L";"$1.790"
"174";"(Ref: 278887)";"Savory";"Helado de Leche Sabor Mora Crema Caja";"1 L";"$1.790"
"175";"(Ref: 236599)";"Trendy";"Helado de Leche Suspiro Limeño Caja";"1 L";"$1.890"
"176";"(Ref: 255173)";"Tacos";"Conos de Helado Caja";"189 g";"$1.890"
"177";"(Ref: 236544)";"Trendy";"Helado de Leche Sabor Frutilla, Vainilla y Chocolate Caja";"1 L";"$1.890"
"178";"(Ref: 236558)";"Trendy";"Postre Helado Tiramisú Caja";"1 L";"$1.890"
"179";"(Ref: 259300)";"San Francisco";"Helado de Agua Sabor Arándano Caja";"1 L";"$1.990"
"180";"(Ref: 259083)";"San Francisco";"Helado de Agua Sabor Frutilla Pote";"1 L";"$1.990"
"181";"(Ref: 259313)";"San Francisco";"Helado de Agua sabor Piña";"1 L";"$1.990"
"182";"(Ref: 259399)";"San Francisco";"Helado de Agua Sabor Frambuesa Pote";"1 L";"$1.990"
"183";"(Ref: 259338)";"San Francisco";"Helado de Agua Sabor Maracuyá Caja";"1 L";"$1.990"
"184";"(Ref: 259326)";"San Francisco";"Helado Agua Sabor Limón Pote";"1 L";"$1.990"
"185";"(Ref: 558410)";"Bresler";"Postre Helado Viennetta Cappuccino Caja";"1 L";"$2.190"
"186";"(Ref: 558409)";"Bresler";"Postre Helado Viennetta Clásica Caja";"1 L";"$2.190"
"187";"(Ref: 236610)";"Bresler";"Postre Helado Viennetta Lúcuma Caja";"1 L";"$2.190"
"188";"(Ref: 318084)";"Bresler";"Postre Helado Viennetta Mora Caja";"1 L";"$2.190"
"189";"(Ref: 340436)";"Bresler";"Helado de Crema Sabor Chocolate Pote";"1 L";"$2.450"
"190";"(Ref: 342467)";"Bresler";"Helado de Crema Sabor Piña Pote";"1 L";"$2.450"
"191";"(Ref: 340439)";"Bresler";"Helado Trisabor Cremissimo Pote";"1 L";"$2.450"
"192";"(Ref: 340435)";"Bresler";"Helado de Crema Sabor Vainilla Pote";"1 L";"$2.450"
"193";"(Ref: 539190)";"Bresler";"Helado de Leche Chirimoya Alegre Pote";"1 L";"$2.450"
"194";"(Ref: 613174)";"Great Value";"Waffles con Trozos Sabor Arándano 10 Un) Caja";"350 g";"$2.490"
"195";"(Ref: 613175)";"Great Value";"Waffles con Trozos Sabor Canela 10 Un) Caja";"350 g";"$2.490"
"196";"(Ref: 629678)";"Savory";"Pura Fruta Helado Mini Sabor Frutilla";"5 Un";"$2.590"
"197";"(Ref: 629677)";"Savory";"Pura Fruta Helado Mini Sabor Piña";"5 Un";"$2.590"
"198";"(Ref: 561997)";"Savory";"Bombones de Helado Sahne-Nuss Pote";"225 g";"$2.650"
"199";"(Ref: 561998)";"Savory";"Helado Chomp Frambuesa a la Crema Pote";"225 g";"$2.650"
"200";"(Ref: 421193)";"Guallarauco";"Helado de Agua en Barra Tropical Caja";"6 Un";"$2.690"
"201";"(Ref: 114443)";"Guallarauco";"Helado Barra de Fruta Mango";"6 Un 60 ml c/u";"$2.690"
"202";"(Ref: 255023)";"Panda";"Helado de Agua Sabor Piña Pote";"2,5 L";"$2.690"
"203";"(Ref: 421192)";"Guallarauco";"Helado de Agua en Barra Maracuyá Caja";"6 Un";"$2.690"
"204";"(Ref: 337432)";"Chamonix";"Helado de Agua Sabor Piña Pote";"2.500 ml";"$2.690"
"205";"(Ref: 255020)";"Panda";"Helado de leche Sabores Lúcuma, Crema Chips y Chocolate Pote";"2,5 L";"$2.790"
"206";"(Ref: 255028)";"Panda";"Helado de Leche Cassata Sabor Chocolate, Vainilla, Frutilla Pote";"2,5 L";"$2.790"
"207";"(Ref: 278042)";"Savory";"Postre de Helado Charlot Sabor Frambuesa Pote";"1 L";"$2.950"
"208";"(Ref: 277985)";"Savory";"Helado Charlot Vainilla Caja";"1 L";"$2.950"
"209";"(Ref: 279305)";"Savory";"Helado Charlot Mora Crema Caja";"1 L";"$2.950"
"210";"(Ref: 278807)";"Savory";"Postre de Helado Charlot Tres Leches Caja";"1 L";"$2.950"
"211";"(Ref: 667457)";"Bresler";"Helado Sabor Piña Granadina";"2,5 L";"$2.990"
"212";"(Ref: 527500)";"Asda";"Berry Strudel 6 Un) Caja";"600 g";"$2.990"
"213";"(Ref: 345112)";"Bresler";"Helado de Crema Sabor Piña Pote";"1,84 L";"$2.990"
"214";"(Ref: 446731)";"Savory";"Helado Mini Crocanty (8 Paletas) Caja";"400 ml";"$2.990"
"215";"(Ref: 236554)";"Trendy";"Helado de Leche Sabor Cassata Pote";"2,5 L";"$2.990"
"216";"(Ref: 345117)";"Bresler";"Helado Trisabor Pote";"1,89 L";"$2.990"
"217";"(Ref: 254994)";"Trendy";"Helado de Leche Sabor Tiramisú, Tres Leches, Chocolate Chips Pote";"2,5 L";"$2.990"
"218";"(Ref: 618660)";"Trendy";"Multipack Helados Cyclone Caja";"15 Un";"$2.990"
"219";"(Ref: 255000)";"Trendy";"Helado de Leche Sabor Lúcuma, Nuez, Vainilla, Salsa Manjar Pote";"2,5 L";"$2.990"
"220";"(Ref: 527501)";"Asda";"Apple Strudel 6 Un) Caja";"600 g";"$2.990"
"221";"(Ref: 345118)";"Bresler";"Helado Trisabor Manjar con Chips Pote";"1,84 L";"$2.990"
"222";"(Ref: 614287)";"Asda";"Tarta Cherry Custard";"475 g";"$2.990"
"223";"(Ref: 254960)";"Trendy";"Helado de Leche Sabor Leche Asada, Suspiro Limeño, Arroz con Leche Pote";"2,5 L";"$2.990"
"224";"(Ref: 345115)";"Bresler";"Helado de Crema Sabor Vainilla Pote";"1.890 ml";"$2.990"
"225";"(Ref: 251888)";"Bresler";"Postre Almendrado Carte D'or Caja";"1 L";"$3.090"
"226";"(Ref: 279303)";"Savory";"Helado Mini Lolly Pop Caja 500 ml";"10 Un";"$3.090"
"227";"(Ref: 629672)";"Savory";"Postre Helado Prestigio";"1 L";"$3.150"
"228";"(Ref: 629676)";"Savory";"Helado Sabor Super8";"1 L";"$3.190"
"229";"(Ref: 598579)";"Melevi";"Helado de Leche Sabor Vainilla, Chocolate y Frutilla";"2,4 L";"$3.190"
"230";"(Ref: 629675)";"Savory";"Helado Triton";"1 L";"$3.190"
"231";"(Ref: 598576)";"Melevi";"Helado de Leche Sabor Lucuma Pote 2";"4 L";"$3.190"
"232";"(Ref: 549528)";"Savory";"Helado de Leche Chocolito Pote";"1 L";"$3.190"
"233";"(Ref: 598577)";"Melevi";"Helado de Agua Sabor Piña";"2,4 L";"$3.190"
"234";"(Ref: 549529)";"Savory";"Helado de Leche sabor Vainilla cobertura chocolate y crispies Crocanty Pote";"1 L";"$3.190"
"235";"(Ref: 591869)";"Guallarauco";"Barra Chocolate";"8 Un";"$3.390"
"236";"(Ref: 686457)";"Savory";"Helado Mini Kriko";"6 Un";"$3.450"
"237";"(Ref: 659627)";"Trendy";"Multipack Mini Cono Manjar";"10 Un";"$3.690"
"238";"(Ref: 259493)";"San Francisco";"Postre Helado Lúcuma Manjar Caja";"1 L";"$3.690"
"239";"(Ref: 394268)";"San Francisco";"Postre Helado Mora Arándano Pote";"1000 cc";"$3.690"
"240";"(Ref: 259387)";"San Francisco";"Helado Light Berry Manía Caja";"1 L";"$3.690"
"241";"(Ref: 259364)";"San Francisco";"Helado de Leche Light sabor Vainilla Parisina Caja";"1 L";"$3.690"
