"codigo";"Marca";"descripcion";"cantidad";"precio"
"60";"(Ref: 552966)";"Gullón";"Galleta Sandwich Sabor Chocolate sin Azúcar Bolsa";"250 g";"$2.090"
"61";"(Ref: 478980)";"Mi Tierra";"Harina de Linaza";"400 g";"$1.550"
"62";"(Ref: 504101)";"Kupiec";"Galletas de Arroz con Sésamo Bolsa";"90 g";"$1.290"
"63";"(Ref: 496449)";"Regimel";"Mermelada Mango Bolsa";"200 g";"$880"
"64";"(Ref: 545393)";"Dulce Locura";"Rollo de Arroz Crujiente Dulce 8 Un) Bolsa";"80 g";"$1.830"
"65";"(Ref: 253166)";"Ecovida";"Galletas Integrales Biscuit Quinoa sin Azúcar Bolsa";"150 g";"$1.190"
"66";"(Ref: 401965)";"En Línea";"Mermelada de Frutilla con Stevia Bolsa";"200 g";"$920"
"67";"(Ref: 510021)";"Loncoleche";"Leche sin Lactosa Sabor Vainilla";"1 L";"$1.190"
"68";"(Ref: 545394)";"Dulce Locura";"Rolls de Arroz Crujiente Canela 8 Un) Bolsa";"80 g";"$1.830"
"69";"(Ref: 657398)";"Cocomi";"Harina de Coco Orgánico 500 g";"500 g";"$2.890"
"70";"(Ref: 545524)";"Lider";"Galletas de Arroz con un Toque de Sal Bolsa";"100 g";"$890"
"71";"(Ref: 318767)";"Santiveri";"Cereal Corn Flakes Bolsa";"250 g";"$3.550"
"72";"(Ref: 592529)";"Rice Crisps";"Galleta de Arroz Integral Sabor Multigrano";"100 g";"$2.050"
"73";"(Ref: 420474)";"Gullón";"Pack Galletas Obleas Vainilla Display";"210 g";"$1.990"
"74";"(Ref: 471848)";"Tucapel";"Harina de Arroz Doypack";"500 g";"$910"
"75";"(Ref: 529696)";"Snack Adventure";"Brownie Sin Gluten";"45 g";"$1.390"
"76";"(Ref: 638263)";"Sana Locura";"Galletas de Arroz Integral con Amaranto y Mijo";"120 g";"$1.090"
"77";"(Ref: 253253)";"Ecovida";"Galleta Rellena Maní Bolsa";"150 g";"$1.370"
"78";"(Ref: 652498)";"Afe";"Jugo Sabor Manzana Roja Caja 200 ml";"200 ml";"$490"
"79";"(Ref: 252846)";"Nutra Food";"Galleta de Yogurt Sugar Free Caja";"189 g";"$2.650"
"80";"(Ref: 253267)";"Ecovida";"Galleta Emparedado de Frutilla Bolsa";"150 g";"$1.370"
"81";"(Ref: 543414)";"Convida";"Hallullas Pan de Arroz Prehorneado sin Gluten Bolsa";"250 g";"$1.690"
"82";"(Ref: 657390)";"Tucapel";"Galletas de Arroz Clásicas";"150 g";"$1.190"
"83";"(Ref: 459425)";"Inca Sur";"Pack Cereal Quínoa Pop";"12 g";"$2.050"
"84";"(Ref: 578178)";"Gallo";"Oblea de Arroz Cubierta de Chocolate";"3 Un de 20 g c/u";"$1.590"
"85";"(Ref: 625867)";"Mizos";"Galleta de Arroz Yoghurt y Limón";"25 g";"$490"
"86";"(Ref: 263100)";"Izkol";"Galletas de Chuño Light Sin Azucar";"125 g";"$990"
"87";"(Ref: 545523)";"Lider";"Galletas de Arroz Endulzada con Stevia y Sucralosa Bolsa";"100 g";"$890"
"88";"(Ref: 242810)";"Afe";"Jugo Líquido Sabor Pera Botella 1 L";"1 L";"$2.450"
"89";"(Ref: 621910)";"Emco";"Granola con Frutillas y Almendras Libre de Gluten";"340 g";"$3.490"
"90";"(Ref: 592591)";"Blue Dragon";"Twist Pasta de Arroz";"250 g";"$1.890"
"91";"(Ref: 656706)";"Nakd";"Barra Cocoa Twist (Caja 4 Un)";"120 g";"$2.991"
"92";"(Ref: 652496)";"Afe";"Jugo Sabor Pera Caja 200 ml";"200 ml";"$490"
"93";"(Ref: 286333)";"Lider";"Salvado de Trigo Grueso";"250 g";"$530"
"94";"(Ref: 561916)";"Mizos";"Bolitas de Manzanas Deshidratadas con Trozos Sabor Canela Bolsa";"18 g";"$570"
"95";"(Ref: 561914)";"Mizos";"Bolitas de Manzanas Deshidratadas Bolsa";"18 g";"$590"
"96";"(Ref: 561915)";"Mizos";"Bolitas de Manzanas Deshidratadas con Trozos Sabor Mora Bolsa";"18 g";"$590"
"97";"(Ref: 319368)";"Lider";"Salvado de Trigo Fino Bolsa";"350 g";"$640"
"98";"(Ref: 253225)";"Ecovida";"Galleta Sin Azúcar Diet Bolsa";"120 g";"$680"
"99";"(Ref: 553573)";"Snack Adventure";"Galleta Artesanal de Maíz y Pera sin Gluten Bolsa";"50 g";"$690"
"100";"(Ref: 250357)";"Lider";"Semillas de Linaza Bolsa";"200 g";"$790"
"101";"(Ref: 285734)";"Regimel";"Mermelada Ciruela Sobre";"200 g";"$880"
"102";"(Ref: 286300)";"Lider";"Maíz de Curagua Bolsa";"500 g";"$890"
"103";"(Ref: 257387)";"Watt's";"Mermelada sin Azúcar Arándano Mix Bolsa";"200 g";"$930"
"104";"(Ref: 334686)";"Trolli";"Gomitas de Gusanitos Luminosos";"100 g";"$950"
"105";"(Ref: 637272)";"Vivo";"Mermelada  Damasco";"200 g";"$970"
"106";"(Ref: 637269)";"Vivo";"Mermelada  Durazno";"200 g";"$970"
"107";"(Ref: 637275)";"Vivo";"Mermelada  Berries";"200 g";"$970"
"108";"(Ref: 637263)";"Vivo";"Mermelada  Frambuesa";"200 g";"$970"
"109";"(Ref: 637266)";"Vivo";"Mermelada  Mora";"200 g";"$970"
"110";"(Ref: 625864)";"Epullen";"Galletas Integrales Arroz, Maiz y Quinoa con Yogurt, Manzana y Canela";"54 g";"$990"
"111";"(Ref: 263090)";"Izkol";"Finas Galletas Chuño Bolsa";"125 g";"$990"
"112";"(Ref: 625863)";"Epullen";"Galletas Integrales Arroz, Maiz y Quinoa con Yogurt y Frambuesa";"54 g";"$990"
"113";"(Ref: 479245)";"Flopi";"Caramelo sin Azúcar y sin Gluten Sabor Uva Pote";"40 g";"$1.000"
"114";"(Ref: 655576)";"Noglut";"Tostaditas sin Gluten Sabor Finas Hierbas";"120 g";"$1.000"
"115";"(Ref: 638264)";"Sana Locura";"Galletas de Arroz Integral con Quinoa y Chia";"120 g";"$1.090"
"116";"(Ref: 638262)";"Sana Locura";"Galletas de Arroz Integral con Semillas de Maravilla";"120 g";"$1.090"
"117";"(Ref: 542415)";"En Línea";"Mermelada sin Azúcar Sabor Durazno Frasco";"320 g";"$1.100"
"118";"(Ref: 542418)";"En Línea";"Mermelada sin Azúcar Sabor Frambuesa Frasco";"320 g";"$1.100"
"119";"(Ref: 250366)";"Lider";"Avena Integral Bolsa";"500 g";"$1.120"
"120";"(Ref: 638258)";"Sana Locura";"Chips de Arroz Iintegral Sabor Queso";"60 g";"$1.150"
"121";"(Ref: 638260)";"Sana Locura";"Chips de Arroz Integral Ketchup";"60 g";"$1.150"
"122";"(Ref: 638261)";"Sana Locura";"Chips de Arroz Iintegral Sabor Crema Ácida y Cebolla";"60 g";"$1.150"
"123";"(Ref: 638259)";"Sana Locura";"Chips de Arroz Integral Sal de Mar y Pimienta Negra";"60 g";"$1.150"
"124";"(Ref: 657393)";"Master Rice";"Cracker Arroz Sabor Lime - Black Pepper";"100 g";"$1.190"
"125";"(Ref: 315856)";"Master Rice";"Galleta Bites de Arroz BB-Q";"70 g";"$1.190"
"126";"(Ref: 315858)";"Master Rice";"Galletas Crackers Sour Cream Bolsa";"100 g";"$1.190"
"127";"(Ref: 315855)";"Master Rice";"Galleta Bites de Arroz Teriyaki";"70 g";"$1.190"
