"codigo";"Marca";"descripcion";"cantidad";"precio"
"67";"(Ref: 589854)";"PF";"Arrollado de Huaso";"250 g";"$990"
"68";"(Ref: 269104)";"La Piara";"Paté de Campo Pote";"125 g";"$990"
"69";"(Ref: 263816)";"Llanquihue";"Paté de Cerdo Embutido";"125 g";"$990"
"70";"(Ref: 269112)";"La Piara";"Paté de Ternera Pote";"125 g";"$990"
"71";"(Ref: 675087)";"La Preferida";"Salame ahumado Laminado";"150 g";"$996"
"72";"(Ref: 542607)";"Receta del Abuelo";"Arrollado Artesanal Bolsa";"150 g";"$1.075"
"73";"(Ref: 262585)";"San Jorge";"Chorizos Tradicional(5 Un)";"250 g";"$1.090"
"74";"(Ref: 251258)";"PF";"Salchicón Cervecero";"250 g";"$1.090"
"75";"(Ref: 475121)";"PF";"Prieta a la Chilena (5 Un)";"250 g";"$1.090"
"76";"(Ref: 247959)";"San Jorge";"Fiambre Jamón Sandwich";"250 g";"$1.090"
"77";"(Ref: 562053)";"La Preferida";"Paté Teewurst Sabor Jamón Embutido";"125 g";"$1.150"
"78";"(Ref: 285019)";"La Preferida";"Paté Salchichón Té Embutido";"160 g";"$1.150"
"79";"(Ref: 312756)";"PF";"Mini Mortadela Fina Embutido";"400 g";"$1.190"
"80";"(Ref: 523270)";"San Jorge";"Pechuga Pollo Cocida";"1 g";"$1.190"
"81";"(Ref: 253673)";"San Jorge";"Arrollado Lomo c/n Ají";"250 g";"$1.190"
"82";"(Ref: 269811)";"La Piara";"Paté de Jamón Pote";"115 g";"$1.290"
"83";"(Ref: 680983)";"PF";"Salame ahumado sachet";"100 g";"$1.390"
"84";"(Ref: 680984)";"PF";"Salame Italiano sachet";"100 g";"$1.390"
"85";"(Ref: 634055)";"Super Pollo";"Pechuga Pollo Acaramelada";"250 g";"$1.390"
"86";"(Ref: 258159)";"Super Pollo";"Pechuga Asada";"250 g";"$1.390"
"87";"(Ref: 253735)";"San Jorge";"Jamón Praga Ahumado";"1 Kg";"$1.390"
"88";"(Ref: 259933)";"La Piara";"Pasta de Pechuga de Pollo Pote";"115 g";"$1.390"
"89";"(Ref: 692283)";"Selección";"Salchichón";"70 g";"$1.390"
"90";"(Ref: 678144)";"Toledo";"Salchichon Velita";"125 g";"$1.390"
"91";"(Ref: 692285)";"Selección";"Salamé Español";"130 g";"$1.390"
"92";"(Ref: 692284)";"Selección";"Saláme Italiano";"130 g";"$1.390"
"93";"(Ref: 544069)";"Toledo";"Salchichón Vela Bolsa";"50 g";"$1.450"
"94";"(Ref: 544065)";"Toledo";"Chorizo Vela Bolsa";"50 g";"$1.450"
"95";"(Ref: 685360)";"Selección";"Salchichón Español";"150 g";"$1.490"
"96";"(Ref: 685362)";"Selección";"Chorizo Español";"150 g";"$1.490"
"97";"(Ref: 694462)";"Selección ";"Chorizo Sarta Picante";"150 gr";"$1.490"
"98";"(Ref: 238559)";"La Preferida";"Salchicha Sureña (5 Unidades)";"250 g";"$1.490"
"99";"(Ref: 685357)";"Selección";"Jamón Serrano";"65 g";"$1.490"
"100";"(Ref: 249013)";"La Crianza";"Salchichas (5 Un)";"250 g";"$1.490"
"101";"(Ref: 681679)";"Receta del Abuelo";"Jamon Serrano";"65 gr";"$1.490"
"102";"(Ref: 675088)";"Winter";"Jamón Pierna";"250 g";"$1.490"
"103";"(Ref: 685361)";"Selección ";"Salame Español";"150 gr";"$1.490"
"104";"(Ref: 627767)";"San Jorge";"Jamón Ahumado Autoservicio";"250 g";"$1.490"
"105";"(Ref: 681681)";"Receta del Abuelo";"Lomo Embuchado";"75 gr";"$1.490"
"106";"(Ref: 263419)";"PF";"Mini Mortadela Jamonada Embutido";"440 g";"$1.550"
"107";"(Ref: 627769)";"San Jorge";"Salame Ahumado";"150 g";"$1.590"
"108";"(Ref: 627768)";"San Jorge";"Salame Italiano";"150 g";"$1.590"
"109";"(Ref: 675095)";"La Preferida";"Pechuga de Pavo ahumada";"150 g";"$1.590"
"110";"(Ref: 240705)";"La Preferida";"Mortadela Jamonada";"200 g";"$1.590"
"111";"(Ref: 252871)";"San Jorge";"Jamon Colonial";"250 g";"$1.590"
"112";"(Ref: 675458)";"La Preferida";"Pechuga Pavo Acaramelado";"150 g";"$1.590"
"113";"(Ref: 546263)";"La Preferida";"Pechuga Pavo Asada";"150 g";"$1.590"
"114";"(Ref: 453979)";"Winter";"Jamon Acaramelado";"250 g";"$1.590"
"115";"(Ref: 252646)";"Lider";"Jamón Pierna Acaramelado";"1 kg";"$1.690"
"116";"(Ref: 253724)";"San Jorge";"Jamon Acaramelado";"250 g";"$1.690"
"117";"(Ref: 543865)";"Super Pollo";"Jamón Pechuga de Pollo Display";"250 g";"$1.690"
"118";"(Ref: 675094)";"La Preferida";"Jamón Pierna Artesanal";"200 g";"$1.750"
"119";"(Ref: 491380)";"Sopraval";"Jamon Pierna Ahumado";"250 g";"$1.790"
"120";"(Ref: 319345)";"PF";"Jamon Pierna Acaramelado";"250 g";"$1.790"
"121";"(Ref: 561233)";"Corbac";"Pasta Untable Ave Palta Pote";"250 g";"$1.790"
"122";"(Ref: 628457)";"La Crianza";"Jamón Campestre Ahumado Laminado";"200 g";"$1.790"
"123";"(Ref: 544067)";"Toledo";"Jamón Curado Display";"80 g";"$1.850"
