"codigo";"Marca";"descripcion";"cantidad";"precio"
"64";"(Ref: 466605)";"Punta Paleta";"Black Beef";"1,5 Kg";"$13.485"
"65";"(Ref: 525016)";"ProCarne";"Carpaccio Caja";"195 g";"$3.890"
"66";"(Ref: 466614)";"Punta Ganso";"Black Beef";"2 Kg";"$21.980"
"67";"(Ref: 693046)";"El Buen Corte";"Molida Mix";"200 g";"$1.000"
"68";"(Ref: 687909)";"Friboi";"Carpaccio De Vacuno";"250 g";"$3.490"
"69";"(Ref: 585823)";"El Buen Corte";"V Ganso";"1 Kg";"$5.790"
"70";"(Ref: 662630)";"Friboi";"Churrasco Posta Rosada Congelada";"1 Kg ";"$5.990"
"71";"(Ref: 585795)";"El Buen Corte";"V Posta Paleta";"1 Kg";"$5.990"
"72";"(Ref: 585788)";"El Buen Corte";"V Posta Rosada";"1 Kg";"$6.990"
"73";"(Ref: 585837)";"El Buen Corte";"V Pollo Ganso";"1 Kg";"$6.990"
"74";"(Ref: 585774)";"El Buen Corte";"V Asiento";"1 Kg";"$7.990"
"75";"(Ref: 541502)";"Tapabarriga";"Al Vacío";"1,5 Kg";"$8.235"
"76";"(Ref: 693953)";"Corral Osorno";"V Asado De Tira";"1 Kg";"$8.990"
"77";"(Ref: 693961)";"Corral Osorno";"Arrachera V Tapabarriga";"1.5 Kg";"$10.485"
"78";"(Ref: 466608)";"Black Beef";"Tapabarriga";"1.5 kg";"$10.485"
"79";"(Ref: 693960)";"Corral Osorno";"V Tapabarriga";"1.5 Kg";"$10.485"
"80";"(Ref: 693954)";"Corral Osorno";"V Filete";"1 Kg";"$11.990"
"81";"(Ref: 464561)";"Nacional";"V Entraña";"1 Kg";"$11.990"
"82";"(Ref: 693959)";"Corral Osorno";"V Punta De Picana";"1.6 Kg";"$12.784"
"83";"(Ref: 693957)";"Corral Osorno";"V Palanca";"1.5 Kg";"$13.485"
"84";"(Ref: 480818)";"Tapabarriga";"Al Vacío Torobayo Nacional";"2,3 Kg";"$16.077"
"85";"(Ref: 693955)";"Corral Osorno";"V Lomo Liso";"1.8 Kg";"$16.182"
"86";"(Ref: 693956)";"Corral Osorno";"V Lomo Vetado";"1.5 Kg";"$16.485"
"87";"(Ref: 466607)";"Palanca";"Black Beef";"1,5 Kg";"$16.485"
"88";"(Ref: 480804)";"Torobayo";"V Asado De Tira";"1.7 Kg";"$16.983"
