"codigo";"Marca";"descripcion";"cantidad";"precio"
"194";"(Ref: 614220)";"Disney";"Mix Mani, Cramberries, Semillas Calabaza";"200 g";"$1.890"
"195";"(Ref: 637177)";"Lider";"Almendra Natural";"300 g";"$4.990"
"196";"(Ref: 637193)";"Lider";"Avellana Europea";"140 g";"$3.290"
"197";"(Ref: 637186)";"Lider";"Mix Salado";"300 g";"$2.690"
"198";"(Ref: 589630)";"Sofruco";"Ciruela Deshuesada";"300 g";"$1.790"
"199";"(Ref: 664676)";"Lider";"Mix Tricolor";"300 g";"$2.190"
"200";"(Ref: 614222)";"Disney";"Pack Colacion Frutos Secos Disney";"250 g";"$2.390"
"201";"(Ref: 664677)";"Lider";"Mix Ensalada Goji";"40 g";"$550"
"202";"(Ref: 664678)";"Lider";"Mix Ensalada Maravilla";"40 g";"$550"
"203";"(Ref: 491079)";"Dole";"Chips de Manzana colación";"24 g";"$590"
"204";"(Ref: 489456)";"Dole";"Chips de Manzana Canela";"24 g";"$590"
"205";"(Ref: 599904)";"Isofrut";"Frutilla/Plátano Liofilizados";"10 g";"$650"
"206";"(Ref: 599903)";"Isofrut";"Pïña/Uva Liofilizados";"10 g";"$650"
"207";"(Ref: 599900)";"Isofrut";"Piña Liofilizada";"10 g";"$650"
"208";"(Ref: 632209)";"Isofrut";"Mango Liofilizado";"10 g";"$650"
"209";"(Ref: 599902)";"Isofrut";"Berries Liofilizados";"10 g";"$650"
"210";"(Ref: 599901)";"Isofrut";"Manzana Liofilizada";"10 g";"$650"
"211";"(Ref: 662625)";"Lider";"Semilla Maravilla";"130 g";"$890"
"212";"(Ref: 353863)";"Lider";"Banana Chips";"140 g";"$1.190"
"213";"(Ref: 489452)";"Dole";"Banana Deshidratada";"90 g";"$1.290"
"214";"(Ref: 517143)";"Lider";"Maní Salado Pote";"200 g";"$1.290"
"215";"(Ref: 517140)";"Lider";"Maní Tostado Pote";"200 g";"$1.290"
"216";"(Ref: 517307)";"Lider";"Maní Confitado Pote";"200 g";"$1.290"
"217";"(Ref: 664674)";"Lider";"Chía Semillas";"140 g";"$1.290"
"218";"(Ref: 664673)";"Lider";"Semilla de Zapallo si Cáscara";"140 g";"$1.490"
"219";"(Ref: 640113)";"Lider";"Maní Confitado";"300 g";"$1.490"
"220";"(Ref: 637187)";"Lider";"Pasas Morenas";"300 g";"$1.590"
"221";"(Ref: 662621)";"Lider";"Coco Slice";"130 g";"$1.590"
"222";"(Ref: 283172)";"-";"Tomate Deshidratado Bandeja 100g";"";"$1.590"
"223";"(Ref: 489427)";"Sofruco";"Ciruela Deshuesada snack";"200 g";"$1.690"
"224";"(Ref: 637188)";"Lider";"Pasas Rubia";"300 g";"$1.690"
"225";"(Ref: 666504)";"Frutos Secos";"Bandeja Mix";"350 g";"$1.990"
"226";"(Ref: 675975)";"Lider";"Pack Colación X5";"150 g";"$1.990"
"227";"(Ref: 664671)";"Lider";"Mango Deshidratados";"140 g";"$1.990"
"228";"(Ref: 353825)";"Alto la Cruz";"Semilla Amapola Pote";"140 g";"$1.990"
"229";"(Ref: 489444)";"Dole";"Chips de Manzana";"100 g";"$2.090"
"230";"(Ref: 282311)";"Alto La Cruz";"Tomate Deshidratado Bandeja";"200 g";"$2.190"
"231";"(Ref: 664667)";"Lider";"Piña Confitada";"300 g";"$2.590"
"232";"(Ref: 353028)";"Alto La Cruz";"Castañas de Cajú Pote";"120 g";"$2.590"
"233";"(Ref: 664664)";"Lider";"Mix Tropical";"300 g";"$2.590"
"234";"(Ref: 666503)";"Higos";"Higos Secos";"300 g";"$2.590"
"235";"(Ref: 637176)";"Lider";"Almendra Fileteada";"140 g";"$2.890"
"236";"(Ref: 664670)";"Lider";"Cranberries Deshidratados";"300 g";"$2.990"
"237";"(Ref: 489450)";"Dole";"Mango Deshidratado";"100 g";"$2.990"
"238";"(Ref: 664665)";"Lider";"Mix Especial";"300 g";"$2.990"
"239";"(Ref: 637180)";"Lider";"Almendras Confitadas";"300 g";"$4.590"
