"codigo";"Marca";"descripcion";"cantidad";"precio"
"69";"(Ref: 284543)";"Ají";"Ají Verde Bandeja";"125 g";"$890"
"70";"(Ref: 282095)";"Apio";"Apio Corazones Dole Bolsa";"1 Un";"$2.290"
"71";"(Ref: 284788)";"Champiñones";"Champiñones Bandeja";"400 g";"$1.990"
"72";"(Ref: 447256)";"Berros";"Berros Pote";"200 g";"$1.490"
"73";"(Ref: 453639)";"Cochayuyo";"Cochayuyo Bolsa";"1 Un";"$1.990"
"74";"(Ref: 283644)";"Ajo";"Ajo Desgranados Malla";"150 g";"$1.290"
"75";"(Ref: 284145)";"Zapallo";"Zapallo Italiano Redondo Unidad";"1 Un";"$650"
"76";"(Ref: 453645)";"Lechuga";"Lechuga Francesa Unidad";"1 Un";"$750"
"77";"(Ref: 458707)";"Menta";"Menta Bandeja";"1 Un";"$890"
"78";"(Ref: 284183)";"Ensalada";"Repollo Morado Bolsa";"300 g";"$1.350"
"79";"(Ref: 385706)";"Espinaca";"Espinaca Baby Pote";"60 g";"$1.190"
"80";"(Ref: 469056)";"Lechuga";"Lechuga Costina 2 Unidades";"2 Un";"$1.490"
"81";"(Ref: 283835)";"Ensalada";"Ensalada César Bolsa";"300 g";"$2.090"
"82";"(Ref: 480152)";"Tomates";"Tomates Beef Granel";"1 Kg";"$1.590"
"83";"(Ref: 285244)";"Albahaca";"Albahaca Fresh Cut Caja";"150 g";"$2.490"
"84";"(Ref: 477980)";"Cebolla";"Cebolla Tubular Trío Malla";"200 g";"$990"
"85";"(Ref: 283527)";"Porotos Verdes";"Porotos Verdes Malla";"500 g";"$1.390"
"86";"(Ref: 307830)";"Diente de Dragón";"Diente de Dragón";"1 Kg";"$1.590"
"87";"(Ref: 378385)";"Champiñones";"Champiñones Variedad Ostra Bandeja";"200 g";"$1.550"
"88";"(Ref: 282216)";"Ají";"Ají Verde Granel";"100 g";"$329"
"89";"(Ref: 284812)";"Alcachofa";"Alcachofa Argentina Unidad";"1 Un";"$420"
"90";"(Ref: 458730)";"Rabanos";"Rábano Blanco";"1 Un";"$590"
"91";"(Ref: 281979)";"Alcachofa";"Alcachofa Francesa";"1 Un";"$590"
"92";"(Ref: 281110)";"Pimiento";"Pimiento Morron Unidad";"1 Un";"$650"
"93";"(Ref: 428794)";"Berenjena";"Berenjena negra Unidad";"1 Un";"$680"
"94";"(Ref: 458733)";"Puerro";"Puerro Granel";"1 Un";"$690"
"95";"(Ref: 280727)";"Achicoria";"Achicoria Bolsa";"1 Un";"$690"
