"codigo";"Marca";"descripcion";"cantidad";"precio"
"58";"(Ref: 288928)";"Ace";"Detergente en Polvo Naturals";"3 Kg";"$7.150"
"59";"(Ref: 622261)";"Lider";"Detergente Hipoalergénico Piel Sensible";"3 L";"$7.390"
"60";"(Ref: 288210)";"Ace";"Detergente en Polvo Matic Blancos Diamante";"3 Kg";"$8.690"
"61";"(Ref: 264774)";"Clorox";"Cloro Ropa Blanca Botella";"1,9 L";"$1.890"
"62";"(Ref: 320448)";"Vanish";"Removedor de Manchas para Ropa Pote";"450 g";"$4.890"
"63";"(Ref: 561245)";"Popeye";"Jabón de Lavar Matic Sábanas y Toallas Doypack";"3 L";"$10.290"
"64";"(Ref: 606723)";"Great Value";"Detergente Líquido Oxi Energía Botella";"1,84 L";"$4.990"
"65";"(Ref: 268686)";"Downy";"Suavizante Frescura Primaveral";"1.89 L";"$3.990"
"66";"(Ref: 264754)";"Popeye";"Jabón Súper Blanco Ropa Blanca y Color";"170 g";"$780"
"67";"(Ref: 623810)";"Ace";"Detergente Liquido 75 Lavados";"3000 ml";"$11.990"
"68";"(Ref: 264790)";"Lider";"Blanqueador para la Ropa Sobre";"20 g";"$270"
"69";"(Ref: 594204)";"Omo";"Detergente Líquido Hipoalergénico Piel Sensible";"1 L";"$3.000"
"70";"(Ref: 292462)";"Vanish";"Quitamanchas en Polvo Poder O2 Pote";"450 g";"$4.950"
"71";"(Ref: 613943)";"Soft";"Suavizante de Ropa Clásico";"1 L";"$3.550"
"72";"(Ref: 457646)";"Vanish";"Removedor de Manchas Poder O2 Pote";"900 g";"$9.190"
"73";"(Ref: 453413)";"KH-7";"Limpiador Quitamanchas Botella";"750 ml";"$2.650"
"74";"(Ref: 640517)";"Ariel";"Detergente en Polvo Regular";"5 Kg";"$17.450"
"75";"(Ref: 269493)";"Soft";"Suavizante Normal";"1 L";"$1.770"
"76";"(Ref: 525190)";"Bio Frescura";"Detergente en Polvo Desierto Florido Bolsa";"3 Kg";"$6.190"
"77";"(Ref: 643185)";"Ariel";"Detergente Líquido Concentrado Downy";"1,2 L";"$8.250"
"78";"(Ref: 320850)";"Omo";"Detergente en Polvo Matic Multiacción";"3,5 Kg";"$9.490"
"79";"(Ref: 644590)";"Great Value";"Suavizante Liquido Concentrado";"3 L";"$4.990"
"80";"(Ref: 263850)";"Vanish";"Limpiador Ropa Color Bolsa";"650 cc";"$1.750"
"81";"(Ref: 675476)";"Omo";"Detergente Líquido Multiac Doypack";"1000 ml";"$3.050"
"82";"(Ref: 100021)";"Omo";"Detergente en Polvo Multiacción Caja";"5 Kg";"$16.890"
"83";"(Ref: 661142)";"Drive";"Drive Perfect Touch Polvo";"3 kg";"$11.350"
"84";"(Ref: 556708)";"Omo";"Quitamanchas Pote";"420 g";"$3.850"
"85";"(Ref: 674993)";"Ariel";"Detergente Líquido Concentrado Ultra 30 Lavados Ropa Blanca y de Color";"1.2 L";"$8.230"
"86";"(Ref: 671622)";"Vanish";"Quitamanchas Líquido Max";"1800 ml";"$3.190"
"87";"(Ref: 244931)";"Clorox";"Cloro Ropa Poder Dual Botella";"3,8 L";"$5.690"
