"codigo";"Marca";"descripcion";"cantidad";"precio"
"64";"(Ref: 594700)";"Artel";"Papel Seda Color Amarillo 10 Pliegos 50X66 cm";"1 Un";"$690"
"65";"(Ref: 594697)";"Artel";"Papel Seda Color Azul 10 Pliegos 50X66 cm";"1 Un";"$690"
"66";"(Ref: 254531)";"Marzú";"Cartón Forrado 45 x 77 cm";"1 Un";"$690"
"67";"(Ref: 366209)";"Proarte";"Carpeta con Gusano Azul";"1 Un";"$690"
"68";"(Ref: 424141)";"Artel";"Pegamento en Barra 21g";"1 Un";"$690"
"69";"(Ref: 334838)";"Isofit";"Alfileres 28mm 50 g Aprox.";"1 Un";"$690"
"70";"(Ref: 166129)";"Proarte";"Carpeta con Gusano Verde";"1 Un";"$690"
"71";"(Ref: 264099)";"Marzú";"Cartón Piedra 1/4 Mercurio";"1 Un";"$690"
"72";"(Ref: 366211)";"Proarte";"Carpeta con Gusano Rojo";"1 Un";"$690"
"73";"(Ref: 594696)";"Artel";"Papel Seda rojo 50,8x66 cm 10 Un";"1 Un";"$690"
"74";"(Ref: 594698)";"Artel";"Papel Seda Color Verde Claro 10 Pliegos 50X66 cm";"1 Un";"$690"
"75";"(Ref: 194831)";"Proarte";"Block Papel Lustre Colores Surtidos 24 Hojas";"1 Un";"$690"
"76";"(Ref: 366210)";"Proarte";"Carpeta con Gusano Celeste";"1 Un";"$690"
"77";"(Ref: 608477)";"Proarte";"Carpeta con Gusano Rosado";"1 Un";"$690"
"78";"(Ref: 594723)";"Artel";"Papel Seda Blanco 50 x 66 cm 10 Un";"1 Un";"$690"
"79";"(Ref: 253392)";"Adetec";"Etiqueta Manual Regular Blanca 35x70 mm";"6 Un";"$690"
"80";"(Ref: 306685)";"Scotch";"Cinta de Embajale Cáfe";"1 Un";"$790"
"81";"(Ref: 257310)";"Artel";"Cola Fría 225g";"1 Un";"$790"
"82";"(Ref: 347102)";"Torre";"Forro Cuaderno Universitario Verde";"1 Un";"$790"
